id,multiplier,recorded_at
6123,1.01,2026-05-22 11:35:30.527965+00
6124,1.69,2026-05-22 11:35:47.27771+00
6125,1.16,2026-05-22 11:36:03.850266+00
6126,2.07,2026-05-22 11:36:28.960232+00
6127,1.45,2026-05-22 11:36:45.817719+00
6128,120.93,2026-05-22 11:38:00.291975+00
6129,1.74,2026-05-22 11:38:16.821539+00
6130,16.31,2026-05-22 11:39:06.600411+00
6131,1.45,2026-05-22 11:39:23.29991+00
6132,1.61,2026-05-22 11:39:40.027061+00
6133,12.8,2026-05-22 11:40:29.850902+00
6134,2.22,2026-05-22 11:40:54.954303+00
6135,54.23,2026-05-22 11:41:52.571253+00
6136,1.12,2026-05-22 11:42:09.302604+00
6137,8.66,2026-05-22 11:42:50.960422+00
6138,1.52,2026-05-22 11:43:07.601416+00
6139,1.09,2026-05-22 11:43:24.365284+00
6140,6.39,2026-05-22 11:43:57.410067+00
6141,1.03,2026-05-22 11:44:14.15414+00
6142,3.25,2026-05-22 11:44:39.183384+00
6143,1.75,2026-05-22 11:45:04.299156+00
6144,1.5,2026-05-22 11:45:21.126268+00
6145,1.31,2026-05-22 11:45:38.146059+00
6146,1.94,2026-05-22 11:45:54.737482+00
6147,1.57,2026-05-22 11:46:11.675481+00
6148,1.22,2026-05-22 11:46:28.251632+00
6149,3.24,2026-05-22 11:47:01.50018+00
6150,4.05,2026-05-22 11:47:26.441182+00
6151,1.6,2026-05-22 11:47:51.226467+00
6152,263.2,2026-05-22 11:49:13.560687+00
6153,4.32,2026-05-22 11:49:38.674361+00
6154,2.21,2026-05-22 11:50:03.590216+00
6155,1.42,2026-05-22 11:50:20.311424+00
6156,32.12,2026-05-22 11:51:17.98557+00
6157,2.73,2026-05-22 11:51:42.836632+00
6158,1.28,2026-05-22 11:51:59.728142+00
6159,1.05,2026-05-22 11:52:16.350988+00
6160,1.53,2026-05-22 11:52:33.156704+00
6161,1.07,2026-05-22 11:52:49.732344+00
6162,2,2026-05-22 11:53:06.255568+00
6163,247,2026-05-22 11:53:30.992901+00
6164,2.38,2026-05-22 11:53:56.127732+00
6165,2.81,2026-05-22 11:54:21.007686+00
6166,1.07,2026-05-22 11:54:37.824231+00
6167,1.01,2026-05-22 11:54:46.139458+00
6168,1.34,2026-05-22 11:55:02.80728+00
6169,1.02,2026-05-22 11:55:19.52502+00
6170,1.1,2026-05-22 11:55:36.213989+00
6171,62.27,2026-05-22 11:56:48.034398+00
6172,1.13,2026-05-22 11:56:56.483599+00
6173,1.85,2026-05-22 11:57:13.126913+00
6174,1.58,2026-05-22 11:57:30.037864+00
6175,1.93,2026-05-22 11:57:54.984079+00
6176,1.35,2026-05-22 11:58:11.668693+00
6177,1.06,2026-05-22 11:58:28.208135+00
6178,11.69,2026-05-22 11:59:09.736024+00
6179,1.4,2026-05-22 11:59:26.356469+00
6180,4.27,2026-05-22 11:59:59.680724+00
6181,1.39,2026-05-22 12:00:16.387975+00
6182,5,2026-05-22 12:00:49.364061+00
6183,1.03,2026-05-22 12:00:57.711512+00
6184,4.31,2026-05-22 12:01:30.978416+00
6185,1.31,2026-05-22 12:01:47.585061+00
6186,1.89,2026-05-22 12:02:12.535506+00
6187,1.02,2026-05-22 12:02:20.867306+00
6188,1.91,2026-05-22 12:02:45.743728+00
6189,1.16,2026-05-22 12:03:02.537199+00
6190,1.36,2026-05-22 12:03:19.108587+00
6191,2.12,2026-05-22 12:03:44.081614+00
6192,3.02,2026-05-22 12:04:09.044393+00
6193,6.85,2026-05-22 12:04:42.099047+00
6194,1.24,2026-05-22 12:04:58.789538+00
6195,3.98,2026-05-22 12:05:32.410989+00
6196,3.44,2026-05-22 12:05:57.406057+00
