id,multiplier,recorded_at
6088,14.8100,2026-05-22 11:20:48.288368+00
6089,1.2500,2026-05-22 11:21:05.057706+00
6090,1.8600,2026-05-22 11:21:21.523575+00
6091,31.9900,2026-05-22 11:22:19.676041+00
6092,2.1500,2026-05-22 11:22:44.668046+00
6093,1.0600,2026-05-22 11:22:53.106203+00
6094,4.5700,2026-05-22 11:23:26.231964+00
6095,6.0700,2026-05-22 11:24:07.671391+00
6096,9.4600,2026-05-22 11:24:41.354469+00
6097,2.2300,2026-05-22 11:25:06.493721+00
6098,1.0400,2026-05-22 11:25:14.800533+00
6099,8.1900,2026-05-22 11:25:56.466098+00
6100,1.0100,2026-05-22 11:26:04.688435+00
6101,2.8400,2026-05-22 11:26:37.938044+00
6102,4.5500,2026-05-22 11:27:02.743276+00
6103,2.5000,2026-05-22 11:27:27.666528+00
6104,13.9800,2026-05-22 11:28:17.667605+00
6105,1.7100,2026-05-22 11:28:34.251729+00
6106,1.4600,2026-05-22 11:28:50.78869+00
6107,1.8500,2026-05-22 11:29:15.935579+00
6108,1.0100,2026-05-22 11:29:32.637532+00
6109,1.8200,2026-05-22 11:29:49.346398+00
6110,9.8900,2026-05-22 11:30:30.966185+00
6111,4.9900,2026-05-22 11:31:04.187821+00
6112,3.1200,2026-05-22 11:31:28.987724+00
6113,2.0700,2026-05-22 11:31:53.938714+00
6114,1.2300,2026-05-22 11:32:10.604682+00
6115,1.1700,2026-05-22 11:32:27.377743+00
6116,6.3800,2026-05-22 11:33:00.595048+00
6117,1.9500,2026-05-22 11:33:25.665934+00
6118,1.2100,2026-05-22 11:33:33.883992+00
6119,9.8700,2026-05-22 11:34:15.517583+00
6120,2.0500,2026-05-22 11:34:32.179608+00
6121,1.1200,2026-05-22 11:34:48.813375+00
6122,3.5500,2026-05-22 11:35:22.08993+00
6123,1.0100,2026-05-22 11:35:30.527965+00
6124,1.6900,2026-05-22 11:35:47.27771+00
6125,1.1600,2026-05-22 11:36:03.850266+00
6126,2.0700,2026-05-22 11:36:28.960232+00
6127,1.4500,2026-05-22 11:36:45.817719+00
6128,120.9300,2026-05-22 11:38:00.291975+00
6129,1.7400,2026-05-22 11:38:16.821539+00
6130,16.3100,2026-05-22 11:39:06.600411+00
6131,1.4500,2026-05-22 11:39:23.29991+00
6132,1.6100,2026-05-22 11:39:40.027061+00
6133,12.8000,2026-05-22 11:40:29.850902+00
6134,2.2200,2026-05-22 11:40:54.954303+00
6135,54.2300,2026-05-22 11:41:52.571253+00
6136,1.1200,2026-05-22 11:42:09.302604+00
6137,8.6600,2026-05-22 11:42:50.960422+00
6138,1.5200,2026-05-22 11:43:07.601416+00
6139,1.0900,2026-05-22 11:43:24.365284+00
6140,6.3900,2026-05-22 11:43:57.410067+00
6141,1.0300,2026-05-22 11:44:14.15414+00
6142,3.2500,2026-05-22 11:44:39.183384+00
6143,1.7500,2026-05-22 11:45:04.299156+00
6144,1.5000,2026-05-22 11:45:21.126268+00
6145,1.3100,2026-05-22 11:45:38.146059+00
6146,1.9400,2026-05-22 11:45:54.737482+00
6147,1.5700,2026-05-22 11:46:11.675481+00
6148,1.2200,2026-05-22 11:46:28.251632+00
6149,3.2400,2026-05-22 11:47:01.50018+00
6150,4.0500,2026-05-22 11:47:26.441182+00
6151,1.6000,2026-05-22 11:47:51.226467+00
6152,263.2000,2026-05-22 11:49:13.560687+00
