252,2.3400,2026-05-15 09:56:21.299509+00
253,2.9400,2026-05-15 09:56:51.342377+00
254,1.1700,2026-05-15 09:57:03.52894+00
255,4.6100,2026-05-15 09:57:33.560072+00
256,4.4000,2026-05-15 09:58:09.589314+00
257,2.0900,2026-05-15 09:58:27.583876+00
258,1.2000,2026-05-15 09:58:45.681971+00
259,1.2900,2026-05-15 09:59:03.682328+00
260,1.0700,2026-05-15 09:59:15.947097+00
261,1.7100,2026-05-15 09:59:34.0061+00
262,1.8700,2026-05-15 09:59:57.856067+00
263,1.3300,2026-05-15 10:00:09.969516+00
264,9.2900,2026-05-15 10:00:51.556254+00
265,1.2900,2026-05-15 10:01:09.834693+00
266,1.0900,2026-05-15 10:01:22.007331+00
267,1.7700,2026-05-15 10:01:46.166125+00
268,1.4600,2026-05-15 10:01:58.281113+00
269,1.8100,2026-05-15 10:02:22.395494+00
270,1.2900,2026-05-15 10:02:40.22369+00
271,1.9300,2026-05-15 10:02:58.289422+00
272,4.4600,2026-05-15 10:03:27.951201+00
273,1.6000,2026-05-15 10:03:45.798522+00
274,1.4800,2026-05-15 10:04:03.758917+00
275,1.4200,2026-05-15 10:04:21.707456+00
276,1.2100,2026-05-15 10:04:39.637409+00
277,9.7200,2026-05-15 10:05:21.147974+00
278,7.2200,2026-05-15 10:05:57.112486+00
279,2.8100,2026-05-15 10:06:21.057439+00
280,1.9500,2026-05-15 10:06:45.26691+00
281,2.6000,2026-05-15 10:07:08.936231+00
282,2.1300,2026-05-15 10:07:32.928727+00
283,1.6200,2026-05-15 10:07:50.84591+00
284,1.0400,2026-05-15 10:08:02.85344+00
285,0.7300,2026-05-15 10:09:07.902379+00
286,2.3000,2026-05-15 10:09:31.798165+00
287,1.2700,2026-05-15 10:09:50.077621+00
288,1.4900,2026-05-15 10:10:02.114437+00
289,1.6900,2026-05-15 10:10:26.382304+00
290,1.4200,2026-05-15 10:10:44.272168+00
291,1.0300,2026-05-15 10:10:56.54156+00
292,1.6900,2026-05-15 10:11:14.557155+00
293,0.6300,2026-05-15 10:11:50.403269+00
294,18.0400,2026-05-15 10:12:37.772192+00
295,1.1600,2026-05-15 10:12:55.756298+00
296,1.0800,2026-05-15 10:13:07.911972+00
297,1.2700,2026-05-15 10:13:26.071189+00
298,2.1800,2026-05-15 10:14:08.193033+00
299,1.8700,2026-05-15 10:14:32.370991+00
300,2.3000,2026-05-15 10:14:56.455146+00
301,1.4800,2026-05-15 10:15:14.550808+00
302,1.0100,2026-05-15 10:15:50.733679+00
303,3.0700,2026-05-15 10:16:20.712992+00
304,2.0200,2026-05-15 10:16:38.796528+00
305,1.8800,2026-05-15 10:17:02.898288+00
306,8.4000,2026-05-15 10:17:38.483079+00
307,9.1900,2026-05-15 10:18:19.992533+00
308,1.2000,2026-05-15 10:18:38.369448+00
309,1.9100,2026-05-15 10:18:56.4969+00
310,1.1700,2026-05-15 10:19:08.655508+00
311,10.6300,2026-05-15 10:19:50.169906+00
312,1.1100,2026-05-15 10:20:08.3818+00
313,3.9300,2026-05-15 10:20:32.266506+00
314,1.0300,2026-05-15 10:20:50.435244+00
315,1.0400,2026-05-15 10:21:08.366943+00
316,1.0100,2026-05-15 10:21:20.319431+00
317,1.4900,2026-05-15 10:21:38.305258+00
318,3.0000,2026-05-15 10:22:08.312283+00
319,1.1900,2026-05-15 10:22:20.426996+00
320,1.2700,2026-05-15 10:22:38.586344+00
321,1.1100,2026-05-15 10:22:50.663331+00
322,1.0500,2026-05-15 10:23:08.729968+00
323,1.0700,2026-05-15 10:23:20.938375+00
324,1.2000,2026-05-15 10:23:33.094423+00
325,1.1300,2026-05-15 10:23:51.187848+00
326,1.1700,2026-05-15 10:24:03.260559+00
327,1.7300,2026-05-15 10:24:39.410116+00
328,4.0700,2026-05-15 10:25:09.105322+00
329,38.8900,2026-05-15 10:26:08.21328+00
330,1.0300,2026-05-15 10:26:20.301911+00
331,1.4700,2026-05-15 10:26:38.434822+00
332,2.0800,2026-05-15 10:27:02.51813+00
333,1.0400,2026-05-15 10:27:20.529166+00
334,2.1400,2026-05-15 10:27:44.568906+00
335,1.3900,2026-05-15 10:28:02.593156+00
336,29.9100,2026-05-15 10:28:55.796042+00
337,3.2300,2026-05-15 10:29:25.54034+00
338,1.9300,2026-05-15 10:29:43.660146+00
339,3.7900,2026-05-15 10:30:13.691154+00
340,1.1700,2026-05-15 10:30:25.788395+00
341,1.2000,2026-05-15 10:30:43.762921+00
342,0.8900,2026-05-15 10:31:19.626309+00
343,2.8000,2026-05-15 10:31:43.646901+00
344,14.6600,2026-05-15 10:32:31.444755+00
345,1.0300,2026-05-15 10:32:43.652131+00
346,1.0200,2026-05-15 10:33:13.84601+00
347,1.0800,2026-05-15 10:33:26.05282+00
348,3.2000,2026-05-15 10:33:49.983831+00
349,2.8900,2026-05-15 10:34:19.817373+00
350,1.4900,2026-05-15 10:34:38.029124+00
351,3.6600,2026-05-15 10:35:08.360657+00
352,1.3800,2026-05-15 10:35:20.60188+00
353,1.2600,2026-05-15 10:35:38.816733+00
354,6.8900,2026-05-15 10:36:14.493982+00
355,1.3800,2026-05-15 10:36:32.52274+00
356,1.4300,2026-05-15 10:36:50.507836+00
357,2.2800,2026-05-15 10:37:14.426404+00
358,3.4000,2026-05-15 10:37:44.289072+00
359,3.0600,2026-05-15 10:38:08.177752+00
360,6.2400,2026-05-15 10:38:43.873452+00
361,2.9600,2026-05-15 10:39:07.957546+00
362,1.8800,2026-05-15 10:39:32.209844+00
363,1.2900,2026-05-15 10:39:44.397351+00
364,19.1100,2026-05-15 10:40:31.75808+00
365,2.9000,2026-05-15 10:41:01.714289+00
366,1.0600,2026-05-15 10:41:13.984116+00
367,1.3200,2026-05-15 10:41:31.987472+00
368,1.6600,2026-05-15 10:41:50.050614+00
369,1.8700,2026-05-15 10:42:08.049303+00
370,1.9500,2026-05-15 10:42:32.074324+00
371,1.9900,2026-05-15 10:42:56.245429+00
372,1.9300,2026-05-15 10:43:14.217917+00
373,2.8000,2026-05-15 10:43:44.067519+00
374,1.9900,2026-05-15 10:44:02.343918+00
375,6.6000,2026-05-15 10:44:38.334955+00
376,1.1100,2026-05-15 10:44:50.475851+00
377,3.8000,2026-05-15 10:45:20.256537+00
378,10.1300,2026-05-15 10:46:02.045361+00
379,4.3900,2026-05-15 10:46:37.785899+00
380,11.7740,2026-05-15 10:47:19.461146+00
381,1.3900,2026-05-15 10:47:37.425533+00
382,1.9300,2026-05-15 10:47:55.511351+00
383,3.9200,2026-05-15 10:48:25.332415+00
384,1.1100,2026-05-15 10:48:37.441127+00
385,4.9400,2026-05-15 10:49:13.182557+00
386,1.0200,2026-05-15 10:49:25.349519+00
387,1.0400,2026-05-15 10:49:37.397408+00
388,1.0900,2026-05-15 10:49:49.566467+00
389,6.9200,2026-05-15 10:50:25.464271+00
390,1.3600,2026-05-15 10:50:43.605521+00
391,3.2800,2026-05-15 10:51:13.736909+00
392,1.2600,2026-05-15 10:51:31.813094+00
393,4.3600,2026-05-15 10:52:01.791208+00
394,1.2000,2026-05-15 10:52:14.001071+00
395,2.9300,2026-05-15 10:52:43.954396+00
396,3.2000,2026-05-15 10:53:07.749223+00
397,3.0000,2026-05-15 10:53:37.660246+00
398,1.3800,2026-05-15 10:53:55.7719+00
399,79.9900,2026-05-15 10:55:06.875311+00
400,3.0000,2026-05-15 10:55:30.609674+00
401,2.0200,2026-05-15 10:55:54.439128+00
402,1.0200,2026-05-15 10:56:06.71349+00
403,2.0000,2026-05-15 10:56:48.728293+00
404,1.0500,2026-05-15 10:57:00.915518+00
405,2.1000,2026-05-15 10:57:25.028499+00
406,9.2000,2026-05-15 10:58:06.743364+00
407,1.4200,2026-05-15 10:58:24.958555+00
408,30.4400,2026-05-15 10:59:18.088168+00
